"map","begin","title","end"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000025","1681-01-01","Kaart 18 met twintig (genummerd 1 t/m 20) percelen gasthuisland zich uitstrekkend van de Kadijk van de Haarlemmermeer, via de Rykeroorderweg tot aan de landscheiding tussen Amstelveen en Aalsmeer","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000026","1681-01-01","Kaart 19 met drie (aangeduid met A t/m C) percelen gasthuisland, gelegen op de oostelijke Amsteloever in de Ban van Oetewaal tussen het Oetgenspad en het Olifantspad en tegenover de ingetekende Berebijt en Jagersstal","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000027","1681-01-01","Kaart 20 met een weer bestaande uit zes (aangeduid met A t/m F) percelen gasthuisland, gelegen in de Ban van Oetewaal tussen de Oetewalerweg en de Amstel ten zuiden van het Oetgenspad","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000028","1681-01-01","Kaart 21 met twee weren bestaande uit drie, respectievelijk vier (aangeduid met A t/m G) percelen gasthuisland, gelegen tussen het Nieuwe Diep en de Oetewalerweg ten noorden van de Ringsloot van de Watergraafsmeer (Diemermeer)","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000029","1681-01-01","Kaart 22 met twee (aangeduid met A en B) percelen gasthuisland, gelegen tussen de Outersdorperweg (Kleene (= Kleine) Sloot) en de Ringvaart van de Diemermeer","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000030","1681-01-01","Kaart 23 met elf (aangeduid met A t/m L, waarbij I ontbreekt) percelen gasthuisland, gelegen in de Ban van Diemen tussen de Ringsloot van de Watergraafsmeer (Diemermeer) tot aan de Diem. Getekend door de gezworen landmeter Johannes Leupenius","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000031","1681-01-01","Kaart 24 met vijf (aangeduid met A t/m E) percelen gasthuisland, gelegenin de Ban van Diemen tussen de Diemerweg en de Diem even ten zuiden van Diemen","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000032","1681-01-01","Kaart 25 met twee weren bestaande uit percelen (aangegeven met A t/m H) gasthuisland, gelegen in de Oude Stammer Polder en tussen de ringsloot van het noordoostelijke deel van de Bijlmermeer en een Scheisloot daar ten oosten van. Getekend door de gezworen landmeter Johannes Leupenius","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000033","1681-01-01","Kaart 26 met drie percelen (aangegeven met A t/m C) gasthuisland, gelegen aan de oostzijde van de Amstel in de Duivendrechterpolder","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000034","1681-01-01","Kaart 27 met tien percelen (aangegeven met A t/m K, waarbij I ontbreekt) gasthuisland, gelegen in de Duivendrechterpolder lopend van de oostzijde van de Amstel over twee Molenweteringen","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000035","1681-01-01","Kaart 28 met veertien percelen (aangegeven met A t/m O, waarbij I ontbreekt) gasthuisland, gelegen in de Duivendrechterpolder lopend van de oostzijde van de Amstel tot aan een Molenwetering","1683-12-31"
"http://beeldbank.amsterdam.nl/afbeelding/KABA00004000036","1681-01-01","Kaart 29 met negentien percelen (aangegeven met A t/m T, waarbij I ontbreekt) gasthuisland, gelegen in de Duivendrechterpolder ten noorden van de Ouderkerkerlaan naar Diemen","1683-12-31"
